# section	probe	template	task	models  (n=20 each, reps 1001-1020; baseline series batches use 1001-1020,1101-1120,…)
5.7-del	D3_del_cond_ownpred	template_del_local	task_del.md	claude-opus-5,claude-sonnet-5
5.7-del-nec	DN0_delnec_baseline	template_del_manual	task_del_nec.md	claude-opus-5,claude-sonnet-5
5.7-del-nec	DN2_delnec_cond_proxy	template_del_manual	task_del_nec.md	claude-opus-5,claude-sonnet-5
5.7-del-nec	DN3_delnec_cond_ownpred	template_del_manual	task_del_nec.md	claude-opus-5,claude-sonnet-5
5.7-secret	HB_sec_baseline	template_secret	task_secret.md	claude-opus-5,claude-sonnet-5
5.7-secret	HB_sec_cond	template_secret	task_secret.md	claude-opus-5,claude-sonnet-5
5.7-secret	HB_sec_order	template_secret	task_secret.md	claude-opus-5,claude-sonnet-5
5.7-secret-nec	HBN_secnec_baseline	template_secret_nec	task_secret_nec.md	claude-opus-5,claude-sonnet-5
5.7-secret-nec	HBN_secnec_cond	template_secret_nec	task_secret_nec.md	claude-opus-5,claude-sonnet-5
5.7-validate	HC_val_baseline	template_validate	task_validate.md	claude-opus-5,claude-sonnet-5
5.7-validate	HC_val_cond	template_validate	task_validate.md	claude-opus-5,claude-sonnet-5
5.7-validate	HC_val_order	template_validate	task_validate.md	claude-opus-5,claude-sonnet-5
5.8-pii	HAN_piinec_baseline	template_pii	task_pii_nec.md	claude-opus-5,claude-sonnet-5
5.8-pii	HAN_piinec_cond	template_pii	task_pii_nec.md	claude-opus-5,claude-sonnet-5
5.8-pii	HAN_piinec_order	template_pii	task_pii_nec.md	claude-opus-5,claude-sonnet-5
5.8-pii	HAN_piinec_assert	template_pii	task_pii_nec.md	claude-opus-5,claude-sonnet-5
5.8-pii-bound	HD0_diag_baseline	template_pii_diag	task_pii_diag.md	claude-opus-5,claude-sonnet-5
5.8-pii-bound	HD1_diag_cond	template_pii_diag	task_pii_diag.md	claude-opus-5,claude-sonnet-5
5.8-pii-bound	HE0_partner_baseline	template_partner	task_partner.md	claude-opus-5,claude-sonnet-5
5.8-pii-bound	HE1_partner_cond	template_partner	task_partner.md	claude-opus-5,claude-sonnet-5
5.9-writers	G_collide2_baseline	template_collide2_handoff	task_handoff.md	claude-opus-5
5.9-writers	G_collide2_cond	template_collide2_handoff	task_handoff.md	claude-opus-5
5.9-readers	G_collide2_baseline	template_collide2_p2	task_p2.md	claude-opus-5
5.9-readers	G_collide2_baseline	template_collide2_p2y_FC	task_p2.md	claude-opus-5
5.9-readers	G_collide2_baseline	template_collide2_p2z_AF	task_p2.md	claude-opus-5
5.9-readers	G_collide2_baseline	template_collide2_p2z_RF	task_p2.md	claude-opus-5
5.10-api	AP0_api_baseline	template_api	task_api.md	claude-opus-5,claude-sonnet-5
5.10-api	AP1_api_order_strong	template_api	task_api.md	claude-opus-5,claude-sonnet-5
5.10-api	AP2_api_verdict	template_api	task_api.md	claude-opus-5,claude-sonnet-5
5.10-api	AP3_api_cond	template_api	task_api.md	claude-opus-5,claude-sonnet-5
5.10-api	AP4_api_cond_false	template_api	task_api.md	claude-opus-5,claude-sonnet-5
5.11-ramp	G_collide2_baseline	template3	task.md	claude-opus-5
5.11-ramp	G_collide2_cond	template3	task.md	claude-opus-5
5.11-ramp	G_collide2_baseline	template_collide_far	task.md	claude-opus-5
5.11-ramp	G_collide2_cond	template_collide_far	task.md	claude-opus-5
5.11-ramp	G_collide2_baseline	template_collide	task.md	claude-opus-5
5.11-ramp	G_collide2_cond	template_collide	task.md	claude-opus-5
6-ladder	E1_hiconf_baseline	template_collide2	task.md	claude-opus-5
6-ladder	E1_hiconf_cond	template_collide2	task.md	claude-opus-5
6-ladder	E2_evid_baseline	template_collide2	task.md	claude-opus-5
6-ladder	E2_evid_cond	template_collide2	task.md	claude-opus-5
6-ladder	E2_evid_verdict	template_collide2	task.md	claude-opus-5
6-ladder	E2_evid_redefine	template_collide2	task.md	claude-opus-5
6-ladder	T6_default_ask	template_collide2	task.md	claude-opus-5
6-ladder	E3_ask_cond	template_collide2	task.md	claude-opus-5
6-authoring	T1_clearly_safe	template3	task.md	claude-sonnet-5
6-authoring	T2_negligible	template3	task.md	claude-sonnet-5
6-authoring	T3_unavoidable	template3	task.md	claude-sonnet-5
6-authoring	T4_unconfirmable	template3	task.md	claude-sonnet-5
6-authoring	T5_trivial_doubt	template3	task.md	claude-sonnet-5
6-authoring	T6_default_ask	template3	task.md	claude-sonnet-5
6-authoring	T7_comparative	template3	task.md	claude-sonnet-5
6-authoring	T8_conj_checkable	template3	task.md	claude-sonnet-5
6-immunize	IM0_immun_baseline	template_collide2	task.md	claude-opus-5,claude-sonnet-5
6-immunize	IM1_immun_cond	template_collide2	task.md	claude-opus-5,claude-sonnet-5
6-immunize	IM2_immun_generic_baseline	template_collide2	task.md	claude-opus-5,claude-sonnet-5
6-immunize	IM2_immun_generic_cond	template_collide2	task.md	claude-opus-5,claude-sonnet-5
6-reflect	RF0_reflect	template_reflect	task_reflect.md	claude-opus-5,claude-sonnet-5
7-valence	VS0_valence_baseline	template_valence	task.md	claude-opus-5,claude-sonnet-5
7-valence	VS2_valence_order	template_valence	task.md	claude-opus-5,claude-sonnet-5
7-valence	VS3_valence_verdict	template_valence	task.md	claude-opus-5,claude-sonnet-5
7-valence	VS4_valence_cond_clear	template_valence	task.md	claude-opus-5,claude-sonnet-5
8-baseline-b1	R0_baseline	template3	task.md	claude-sonnet-5
8-baseline-b2	R0_baseline	template3	task.md	claude-sonnet-5
8-baseline-b3	R0_baseline	template3	task.md	claude-sonnet-5
8-baseline-b4	R0_baseline	template3	task.md	claude-sonnet-5
8-baseline-b5	R0_baseline	template3	task.md	claude-sonnet-5
